ts,symbol,open_time,spot_close,mark_close,index_close,premium_close,basis_mark_vs_spot,basis_index_vs_spot,funding_rate,funding_interval_hours,volume,quote_volume,trades,agg_sum_qty,agg_trades,agg_cvd_qty,agg_vwap,agg_last_trade_id,agg_taker_buy_qty,agg_taker_sell_qty,agg_taker_buy_trades,agg_taker_sell_trades,agg_buy_notional,agg_sell_notional,agg_buy_vwap,agg_sell_vwap,agg_first_price,agg_last_price,agg_first_trade_id
2025-01-01 00:00:00+00:00,ADA-USDT,1735689600000,0.8512,0.8509,0.85097531,0,-0.000352443609,-0.000263968515,0.0001,8,839360.2,712349.5278,2397,839360.2,890,102727.2,0.8486815646,360606452,471043.7,368316.5,464,426,399716.0223,312633.5056,0.8485752432,0.8488175402,0.845,0.8512,360605563
2025-01-01 00:00:00+00:00,BNB-USDT,1735689600000,704.01,703.8745969,703.9241503,-0.00014667,-0.0001923312027,-0.0001219438076,0,8,1238.006,870245.1674,6065,1238.006,2534,-23.028,702.9409934,625311307,607.489,630.517,1540,994,427074.0432,443171.1242,703.0152697,702.8694298,702.31,704.01,625308774
2025-01-01 00:00:00+00:00,BTC-USDT,1735689600000,93656.18,93637.2,93650.13915,-2.50E-05,-0.0002026561408,-6.45E-05,0.0001,8,175.85673,16461794,19788,175.85673,8259,-49.44345,93609.12147,3358812432,63.20664,112.65009,4386,3873,5915901.627,10545892.37,93596.20487,93616.36883,93576,93656.18,3358804174
2025-01-01 00:00:00+00:00,ETH-USDT,1735689600000,3348.5,3348.23826,3348.6375,-0.00012375,-7.82E-05,4.11E-05,0.0001,8,1911.9338,6390517.569,16634,1911.9338,5035,246.2958,3342.436631,1376417740,1079.1148,832.819,3247,1788,3607203.997,2783313.573,3342.743512,3342.038994,3337.78,3348.5,1376412706
2025-01-01 00:00:00+00:00,LINK-USDT,1735689600000,20.09,20.08,20.08603424,-0.00013338,-0.0004977600796,-0.0001973997013,0.0001,8,32439.81,650421.4894,1102,32439.81,457,-5045.55,20.05010169,256077578,13697.13,18742.68,264,193,274680.8612,375740.6282,20.05389897,20.04732665,20.02,20.09,256077122
2025-01-01 00:00:00+00:00,SOL-USDT,1735689600000,190.51,190.39,190.4997849,-0.00043173,-0.0006298881948,-5.36E-05,-5.59E-05,8,35052.417,6657852.734,13756,35052.417,3986,2902.081,189.9399044,466117504,18977.249,16075.168,2138,1848,3605685.012,3052167.722,190.0004059,189.8684805,189.31,190.51,466113519
2025-01-01 00:00:00+00:00,XRP-USDT,1735689600000,2.0967,2.0962,2.09640184,1.29E-05,-0.0002384699766,-0.0001422044165,0.0001,8,1789703,3737499.052,8977,1789703,3094,439941,2.088334797,518542856,1114822,674881,1702,1392,2328317.169,1409181.883,2.088510246,2.088044978,2.0836,2.0967,518539763
2025-01-01 00:15:00+00:00,ADA-USDT,1735690500000,0.8521,0.8519,0.85208318,-1.68E-05,-0.0002347142354,-1.97E-05,0.0001,8,496512.6,422710.9812,1745,496512.6,680,35633.8,0.8513600284,360607132,266073.2,230439.4,353,327,226550.9463,196160.0349,0.8514609752,0.8512434718,0.8513,0.8521,360606453
2025-01-01 00:15:00+00:00,BNB-USDT,1735690500000,704.63,704.41,704.5238194,-0.000144,-0.000312220598,-0.0001506898088,0,8,647.302,455872.0867,3680,647.302,1457,65.418,704.2649129,625312764,356.36,290.942,799,658,250985.7466,204886.3401,704.3039245,704.2171295,704.01,704.63,625311308
2025-01-01 00:15:00+00:00,BTC-USDT,1735690500000,93761.9,93743.4,93760.97149,-0.00019741,-0.0001973082883,-9.90E-06,0.0001,8,95.41749,8948674.287,20478,95.41749,6935,9.19953,93784.42345,3358819367,52.30851,43.10898,3772,3163,4905499.624,4043174.663,93780.14445,93789.61561,93656.19,93761.9,3358812433
